id,sentence,type
aj_356,tehran iran  iranian armed forces have seized a container ship near the strait of hormuz amid rising tensions across the region after a deadly israeli attack on irans consulate in syria,pro-israeli
aj_361,this hebron grocer wont let israeli shutdowns stop him ishaq qafisheh has worked in the falafel shopturnedgrocer for as long as he can remember and plans to continue,pro-israeli
aj_361,hebron occupied west bank  ishaq qafisheh steers his wheelchair around the ibrahimi mosque resting his trusty crutch on his shoulder as he rolls along,pro-palestinian
aj_363,could houthisunk ship rubymar spell ecodisaster for the red sea,pro-palestinian
aj_365,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_366,tunisias saied is a hypocrite on palestine the authoritarian presidents fiery rhetoric on palestine is not backed by any meaningful action,pro-palestinian
aj_368,ireland norway and spain recognise palestine,pro-palestinian
aj_368,now 146 out of 193 un members recognise palestine but what does that mean for palestinians,pro-palestinian
aj_368,ireland norway and spain have recognised palestine as an independent state,pro-palestinian
aj_370,there is a measure of desperation in bidens ceasefire plan the us president and israeli prime minister are anxious to get out of a war destroying their political prospects,pro-israeli
aj_370,on friday us president joe biden outlined a ceasefire proposal for the war in gaza,pro-palestinian
aj_374, us senator chris van hollen says it is time for the biden administration to tell israel if you continue to ignore us there will be consequences,pro-israeli
aj_376,israel has killed a senior hezbollah commander in an air strike in southern lebanon the israeli military has said,pro-israeli
aj_383,dozens arrested in us campuses in another weekend of propalestine protests more than 2000 people have been arrested nationwide as students continue protests calling for a ceasefire in gaza,pro-palestinian
aj_384,propalestinian protesters paralyse roads in us cities over war on gaza demonstrators block highways and shut down travel in illinois california new york and the pacific northwest,pro-palestinian
aj_385,blocks from the white house us students stand steadfast with gaza palestine solidarity encampment springs up at george washington university despite crackdown and arrests across us,pro-palestinian
aj_385,washington dc  chants of free palestine were interrupted by ululating and cheers as dozens of georgetown university students arrived at a protest at the neighbouring george washington university gw campus in the heart of the us capital city,pro-palestinian
aj_389,i will not use my medical knowledge to violate human rights and civil liberties even under threat,pro-palestinian
aj_389, this is a line in the physicians pledge adopted by the world medical association in 1948 which guides the work of doctors around the globe,pro-palestinian
aj_390,what has allowed israel operate an assassination policy for decades,pro-israeli
aj_392,israels netanyahu dissolved the war cabinet does it matter,pro-israeli
aj_392,israeli prime minister benjamin netanyahu has dissolved his war cabinet after being pressured to add members,pro-israeli
aj_393,beirut lebanon  hezbollah fired more than 200 missiles and rockets across its southern border on wednesday in one of its heaviest attacks on northern israel since the 2006 war,pro-israeli
aj_397,temple movements plan to sacrifice the cattle seen as a step towards its goal of building the third temple over alaqsa mosque,pro-palestinian
aj_397,they have come from halfway across the world and are kept under tight security and raised according to the strictest rules,pro-palestinian
aj_400,ireland spain norway moving closer to recognising a palestinian state spanish pm pedro sanchez says declarations on palestine will be made when the conditions are appropriate,pro-palestinian
aj_400,ireland and norway are both moving closer to recognising palestinian statehood leaders of the two countries expressed separately after meetings with spains prime minister pedro sanchez who also champions the move,pro-palestinian
aj_402,the baby named sabreen alrouh jouda was rescued saturday after the strike that killed her mother father and young sister,pro-palestinian
aj_403,uk university students join propalestine protests students in the uk including those at cambridge and oxford are showing solidarity with palestine and their peers around the world,pro-palestinian
aj_403,similar to protests in the us canada and france encampments were set up on campus with students demanding a boycott and divestment from israel,pro-israeli
aj_404,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_406,the take will israels protests change netanyahus calculus,pro-israeli
aj_406,jerusalem sees the largest gathering of antigovernment protesters in israel since oct 7,pro-israeli
aj_407,you can continue to follow our coverage of the war in gaza here,pro-palestinian
aj_408,washington dc  cheers erupted when united states vice president kamala harris called for an immediate ceasefire in gaza earlier this month,pro-palestinian
aj_411,revisiting molokhia amid war and displacement in gaza address tent azzawayda gaza  a year ago siham abu shaaban made molokhia for fork the system explaining how it is considered a lucky charm of a dish that many families have to have on their ramadan table,pro-palestinian
aj_412,significant part of gaza facing faminelike conditions who says world health organization chief tedros says 8000 children under age five in gaza have been diagnosed with acute malnutrition,pro-palestinian
aj_414,slovenias moral duty whats behind its push to recognise palestine,pro-palestinian
aj_414,slovenia is set to recognise palestinian statehood in june following in the footsteps of ireland norway and spain,pro-palestinian
aj_421,phone taps and intimidation israels war against the icc israeli officials are accused of using phone taps spying and intimidation against icc prosecutors to derail possible war crimes investigations,pro-israeli
